Idade,Sexo,Cidade,Gasto,Custo
45.0,masculino,Porto Alegre,66.0,94.0
43.0,feminino,Fortaleza,78.0,69.0
28.0,feminino,São Paulo,,99.0
,masculino,Fortaleza,54.0,
,feminino,Fortaleza,80.0,
14.0,feminino,Porto Alegre,30.0,
51.0,masculino,Fortaleza,74.0,
60.0,masculino,Fortaleza,85.0,
16.0,masculino,Porto Alegre,97.0,
62.0,feminino,Fortaleza,42.0,
49.0,feminino,Porto Alegre,55.0,
38.0,masculino,São Paulo,70.0,
,masculino,São Paulo,33.0,
10.0,masculino,Porto Alegre,,
21.0,masculino,Porto Alegre,,
40.0,,Fortaleza,,
60.0,masculino,São Paulo,69.0,
49.0,feminino,São Paulo,96.0,
39.0,masculino,São Paulo,34.0,
30.0,masculino,Fortaleza,38.0,
10.0,masculino,São Paulo,56.0,
45.0,masculino,Fortaleza,61.0,
57.0,feminino,Porto Alegre,54.0,
26.0,feminino,Porto Alegre,30.0,
50.0,masculino,Porto Alegre,91.0,
58.0,masculino,São Paulo,,
66.0,feminino,Porto Alegre,92.0,
41.0,masculino,Porto Alegre,31.0,
35.0,feminino,Fortaleza,,
13.0,masculino,São Paulo,34.0,
