idade,tempo_educacao,estado_civil,cor,sexo,horas_por_semana,salario_anual,nome,dívida
39.0,13,Never-married,White,Male,40,<=50K,NA,
50.0,13,Married-civ-spouse,White,Male,13,<=50K,NA,
38.0,9,Divorced,White,Male,40,<=50K,NA,
53.0,7,Married-civ-spouse,Black,Male,40,<=50K,NA,
37.0,14,Married-civ-spouse,White,Female,40,<=50K,NA,
52.0,9,Married-civ-spouse,White,?,45,>50K,NA,
31.0,14,Never-married,White,Female,50,>50K,NA,
42.0,13,Married-civ-spouse,White,Male,40,>50K,NA,
37.0,10,Married-civ-spouse,Black,Male,80,>50K,NA,
23.0,13,Never-married,White,Female,30,<=50K,NA,
32.0,12,Never-married,Black,Male,50,<=50K,NA,
25.0,9,Never-married,White,Male,35,<=50K,NA,
32.0,9,Never-married,White,Male,40,<=50K,NA,
38.0,7,Married-civ-spouse,White,Male,50,<=50K,NA,
43.0,14,Divorced,White,Female,45,>50K,NA,
40.0,16,Married-civ-spouse,White,Male,60,>50K,NA,
54.0,9,Separated,Black,Female,20,<=50K,NA,
35.0,5,Married-civ-spouse,Black,Male,40,<=50K,NA,
43.0,7,Married-civ-spouse,White,Male,40,<=50K,NA,
59.0,9,Divorced,White,Female,40,<=50K,NA,
56.0,13,Married-civ-spouse,White,Male,40,>50K,NA,
19.0,9,Never-married,White,Male,40,<=50K,NA,
39.0,9,Divorced,White,Male,80,<=50K,NA,
49.0,9,Married-civ-spouse,White,Male,40,<=50K,NA,
23.0,12,Never-married,White,?,52,<=50K,NA,
20.0,10,Never-married,Black,Male,44,<=50K,NA,
45.0,13,Divorced,White,Male,40,<=50K,NA,
30.0,10,Married-civ-spouse,White,?,40,<=50K,NA,
22.0,10,Married-civ-spouse,Black,Male,15,<=50K,NA,
21.0,10,Never-married,White,Male,40,<=50K,NA,
19.0,9,Married-AF-spouse,White,Female,25,<=50K,NA,
48.0,12,Married-civ-spouse,White,Male,40,<=50K,NA,
31.0,5,Married-civ-spouse,White,Male,43,<=50K,NA,
53.0,13,Married-civ-spouse,White,Male,40,<=50K,NA,
24.0,13,Married-civ-spouse,White,Male,50,<=50K,NA,
49.0,9,Separated,White,Female,40,<=50K,NA,
25.0,9,Never-married,White,?,35,<=50K,NA,
57.0,13,Married-civ-spouse,Black,Male,40,>50K,NA,
53.0,9,Married-civ-spouse,White,Male,38,<=50K,NA,
44.0,14,Divorced,White,Female,40,<=50K,NA,
41.0,11,Married-civ-spouse,White,Male,40,<=50K,NA,
29.0,11,Never-married,White,Male,43,<=50K,NA,
25.0,10,Married-civ-spouse,Other,Female,40,<=50K,NA,
50.0,13,Divorced,White,Male,55,>50K,NA,
47.0,9,Divorced,White,Male,60,<=50K,NA,
43.0,10,Married-civ-spouse,White,Male,40,>50K,NA,
41.0,9,Married-civ-spouse,White,Male,48,<=50K,NA,
30.0,9,Married-civ-spouse,White,Male,40,<=50K,NA,
30.0,13,Married-civ-spouse,White,Male,40,<=50K,NA,
48.0,9,Married-civ-spouse,White,Male,40,<=50K,NA,
42.0,16,Married-civ-spouse,White,Male,45,>50K,NA,
29.0,10,Divorced,White,Male,58,<=50K,NA,
36.0,9,Married-civ-spouse,White,Male,40,<=50K,NA,
28.0,10,Divorced,White,Female,40,<=50K,NA,
53.0,9,Married-civ-spouse,White,Female,40,>50K,NA,
49.0,10,Married-civ-spouse,White,Male,50,>50K,NA,
25.0,10,Never-married,White,Male,40,<=50K,NA,
19.0,10,Never-married,White,Male,32,<=50K,NA,
31.0,13,Separated,Black,Female,40,<=50K,NA,
29.0,13,Married-civ-spouse,White,Male,70,>50K,NA,
23.0,10,Never-married,White,Male,40,<=50K,NA,
79.0,10,Married-civ-spouse,White,Male,20,<=50K,NA,
40.0,12,Married-civ-spouse,White,Male,40,<=50K,NA,
67.0,6,Married-civ-spouse,White,?,2,<=50K,NA,
18.0,7,Never-married,White,Female,22,<=50K,NA,
31.0,4,Married-civ-spouse,White,Male,40,<=50K,NA,
18.0,9,Never-married,White,Male,30,<=50K,NA,
