ind_pop_cid,perc_pol,taxa_crim,nivel_ed,crimes
1.0,7.185470961813511,62.08269347786397,10.0,77
1.0,24.45675022293089,88.24437995186776,6.0,202
1.0,19.791772228281935,94.93025655736379,1.0,348
4.0,10.089495548524619,41.7915071863027,6.0,114
3.0,34.69749465733336,67.61579477047133,1.0,47
3.0,16.986503629613814,37.97707800154859,4.0,34
5.0,6.94041325059186,32.146399149989094,2.0,188
4.0,34.36186596433997,66.97402273359589,7.0,35
4.0,9.558896964898766,57.0566822360483,1.0,309
5.0,2.7993133256211777,69.5279112698745,7.0,327
4.0,7.0633797993910115,13.855013617245394,3.0,74
4.0,29.485009506683735,89.69383291236916,2.0,224
3.0,1.7111157835322022,38.61428650652828,8.0,81
1.0,11.909449508747116,98.56676114601309,2.0,421
2.0,24.050923117795808,79.95091612460638,7.0,135
1.0,4.318487466604526,62.42274801162962,6.0,255
4.0,10.474147831747317,44.05325573828526,4.0,199
1.0,33.57994045038956,94.71523623866412,8.0,29
3.0,3.2454618938211666,63.65787342595497,5.0,316
1.0,13.310660696363774,61.64714185457796,10.0,68
5.0,38.85375238376357,82.16949877684434,1.0,56
1.0,30.45112975628198,67.58491265267557,7.0,5
5.0,31.797895340112326,82.2036455044695,2.0,215
3.0,19.368456200484253,49.71991768408994,3.0,106
3.0,6.185048060307352,63.56057244618998,3.0,287
3.0,9.991384032458528,80.01288034057328,2.0,372
4.0,7.466581187488086,63.04644814183733,6.0,245
5.0,5.519637447384762,56.45441045536338,5.0,251
2.0,6.800075257674343,55.06756399596304,8.0,187
2.0,32.48925490004378,80.30516108322712,10.0,23
3.0,13.351629877145522,84.33499852136842,3.0,359
1.0,4.319841247943534,38.78313935117495,2.0,151
5.0,2.0728765000495253,46.32063684889933,5.0,188
2.0,6.150216941914843,40.83654838227461,1.0,174
3.0,0.8204137905416076,85.69077571949065,1.0,441
2.0,8.085455367623052,13.180779492180273,5.0,42
5.0,28.891882970615946,72.68844354078104,9.0,72
5.0,13.136162686592701,91.14331152468995,5.0,380
2.0,13.092679679504215,81.84405127621994,8.0,254
5.0,8.0919906913841,32.353643958170565,9.0,61
3.0,3.4817216540135143,36.67567409667403,7.0,130
1.0,35.898461217222255,91.6622605375716,8.0,43
4.0,23.216116671669084,71.48822520298016,7.0,115
3.0,0.8174816250160033,46.04959346611852,5.0,156
1.0,23.133487898947724,62.08260504747615,2.0,147
5.0,0.569973341896457,98.56416230498465,8.0,409
5.0,2.786848680542098,81.16860335692505,4.0,435
3.0,1.855372116182108,41.86382741639419,9.0,135
1.0,14.846916473167948,43.129304902753226,3.0,118
3.0,8.499198949473374,60.75869060796634,1.0,297
4.0,27.59534555857809,89.3502131455124,2.0,244
4.0,38.27673496523589,99.44788674911774,9.0,100
4.0,18.833443561935535,79.57193787813785,4.0,235
5.0,2.484151266929857,96.3110806280625,10.0,379
3.0,20.82331700584781,50.874998257749226,2.0,137
3.0,18.16293651174132,96.00841758039398,5.0,322
5.0,20.863087905133337,34.978398585106596,3.0,69
2.0,38.161171233716715,96.53405079741194,9.0,10
5.0,12.027691848572209,50.19307091620311,6.0,139
4.0,5.064114513787532,97.27865207999406,1.0,464
1.0,10.221515216431643,41.272092349996385,3.0,138
3.0,14.544698636036756,27.442826314941758,2.0,43
4.0,3.4090525250169312,32.399543123325536,2.0,95
5.0,16.163636301652573,99.05144858737513,2.0,397
5.0,44.68835565699114,89.9696947759614,1.0,2
2.0,18.27942648399845,79.97455622242269,9.0,233
1.0,15.34243222706273,42.36343533977413,2.0,126
5.0,14.164982316835317,73.99604007751974,3.0,302
2.0,26.487442657667295,72.02918023267515,8.0,69
1.0,21.18813026833837,90.13025542683073,2.0,343
2.0,8.095755213264933,62.60329797576619,3.0,279
5.0,36.14780771117284,78.8374108239594,1.0,105
2.0,4.161095416613881,70.72619783632769,4.0,261
3.0,10.842654990558731,45.31349006852253,8.0,77
1.0,28.6117722022446,94.20220948828873,9.0,136
2.0,22.034790572165207,60.588592140744325,6.0,77
5.0,32.05969727078296,89.74939613131994,10.0,100
2.0,5.083002574906603,37.92183416632279,5.0,117
5.0,22.193696867317747,67.66818349516419,8.0,167
4.0,13.307754093966718,97.56069425756637,4.0,350
3.0,10.42918723948193,69.07843811405596,3.0,318
2.0,10.550018050500453,92.30113969307156,3.0,351
5.0,15.475541404238824,61.10506018808463,2.0,251
3.0,21.433591096752448,90.85567143634985,2.0,361
3.0,4.8261626619267695,76.1229946257986,1.0,357
1.0,10.403719044532345,15.732136703873278,3.0,30
3.0,22.653352076146703,73.96347959498209,4.0,182
2.0,3.6538687409799597,38.861228541137734,5.0,103
4.0,11.643858832627728,76.81241094842986,9.0,229
3.0,5.332637204062585,73.54640770515925,7.0,255
1.0,11.890554572089995,24.95283287395569,3.0,27
1.0,31.813586727671428,62.25575680983489,1.0,43
2.0,27.012019616257433,86.23805405639848,10.0,128
1.0,18.95641636114992,83.97932904204043,8.0,206
5.0,6.992873950424661,35.245095351791264,7.0,132
2.0,21.305746705355265,46.94286272532576,4.0,62
4.0,36.22248258698405,87.96714936780661,7.0,77
2.0,4.24240172861955,54.517661732405784,9.0,145
2.0,10.921535823843275,86.7418066856413,4.0,370
4.0,20.62643949885602,47.697114841428764,5.0,65
